kabátek	<	kabát
kachlička	<	kachel
kachlík	<	kachel
kachlíček	<	kachlík
kachnička	<	kachna
kachňátko	<	kachně
kahánek	<	kahan
kalendářík	<	kalendář
kalendáříček	<	kalendářík
kalhotky	<	kalhoty
zákalek	<	zákal
kalíšek	<	kalíš
kamarádíček	<	kamarád
kamerka	<	kamera
kamizolka	<	kamizola
kamínka	<	kamna
sporáček	<	sporák
kamrlíček	<	kamrlík
kamzíček	<	kamzík
kanapátko	<	kanape
kanapíčko	<	kanape
kancelářička	<	kancelář
kaneček	<	kanec
kančík	<	kanec
kantůrek	<	kantor
kanálek	<	kanál
kanárek	<	kanár
kanýrek	<	kanýr
kapelka	<	kapela
kapilárka	<	kapilára
kapitolka	<	kapitola
podkapitolka	<	podkapitola
kapitálka	<	kapitála
kapitánek	<	kapitán
kapička	<	kapka
kapénka	<	kapka
kaplánek	<	kaplan
kaplička	<	kaple
kapotka	<	kapota
kapřík	<	kapr
kapříček	<	kapřík
kapradinka	<	kapradina
kapesníček	<	kapesník
kapsička	<	kapsa
kapslička	<	kapsle
kapslovka	<	kapsle
kapslík	<	kapsle
kapustička	<	kapusta
kapustka	<	kapusta
karabinka	<	karabina
karabáček	<	karabáč
karafiátek	<	karafiát
karásek	<	karas
karikaturka	<	karikatura
karkulka	<	karkule
kartička	<	karta
kartka	<	karta
kartonek	<	karton
kartáček	<	kartáč
kasička	<	kasa
kaskádička	<	kaskáda
kastlíček	<	kastlík
kastrolek	<	kastrol
kastrůlek	<	kastrol
kasárník	<	kasárna
kauzička	<	kauza
kaviárek	<	kaviár
kazetka	<	kazeta
kašička	<	kaše
kašílek	<	kašel
kašnička	<	kašna
kaštánek	<	kaštan
kbelíček	<	kbelík
kejháček	<	kejhák
kesírek	<	keser
kečupek	<	kečup
keřík	<	keř
keříček	<	keřík
křovíčko	<	křoví
klacík	<	klacek
klacíček	<	klacík
klásek	<	klas
klauzurka	<	klauzura
klavírek	<	klavír
klícka	<	klec
klenek	<	klen
klenotnička	<	klenotnice
klenbička	<	klenba
výkleneček	<	výklenek
klípek	<	klep
klepítko	<	klepeto
kleštík	<	kleště
klídek	<	klid
klídeček	<	klídek
klička	<	klika
klisnička	<	klisna
klobouček	<	klobouk
slamáček	<	slamák
tvrďáček	<	tvrďák
klokánek	<	klokan
poklonka	<	poklona
úklonka	<	úklona
úklonek	<	úklon
poklopeček	<	poklop
poklůpek	<	poklop
záklopečka	<	záklopka
kloubek	<	kloub
kloubeček	<	kloubek
klubíčko	<	klubko
klouček	<	kluk
klučík	<	kluk
kladka	<	kláda
kladička	<	kladka
obkladek	<	obklad
kladinka	<	kladina
kladívko	<	kladivo
kladívečko	<	kladívko
podkladek	<	podklad
pokládek	<	poklad
pokladnička	<	pokladna
vkládek	<	vklad
kláveska	<	klávesa
klínek	<	klín
klíneček	<	klínek
klíček	<	klíč
klíšťátko	<	klíště
kmotřeneček	<	kmotřenec
kmotřenečka	<	kmotřenka
kmotřík	<	kmotr
kmotříček	<	kmotr
kmínek	<	kmín
knihovnička	<	knihovna
knížka	<	kniha
knížečka	<	knížka
knížtička	<	knížka
knoflíček	<	knoflík
knůtek	<	knot
knírek	<	knír
kníreček	<	knírek
knížátko	<	kníže
kněžík	<	kněz
kobereček	<	koberec
koblížek	<	koblih
kobylka	<	kobyla
koflíček	<	koflík
kohoutek	<	kohout
kojeneček	<	kojenec
koketka	<	koketa
kokřík	<	kokr
koledníček	<	koledník
kolegáček	<	kolega
kolejnička	<	kolejnice
kolénko	<	koleno
kolínko	<	koleno
kolibříček	<	kolibřík
kolečko	<	kolo
koloušek	<	kolouch
koláček	<	koláč
kolčavka	<	kolčava
kombíček	<	kombík
komnatka	<	komnata
komůrka	<	komora
předkomůrka	<	předkomora
kompotek	<	kompot
kompresorek	<	kompresor
komteska	<	komtesa
komárek	<	komár
pakomárek	<	pakomár
komínek	<	komín
zákonek	<	zákon
zákoneček	<	zákonek
kondička	<	kondice
koneček	<	konec
konvička	<	konvice
konipásek	<	konipas
konopka	<	konopí
kontejnerek	<	kontejner
kontíčko	<	konto
kopička	<	kopa
kopka	<	kopa
kopaneček	<	kopanec
odkopek	<	odkop
výkopek	<	výkop
kopáček	<	kopáč
příkopek	<	příkop
příkůpek	<	příkop
kopeček	<	kopec
kopretinka	<	kopretina
koprníček	<	koprník
kopýtko	<	kopyto
kopřivka	<	kopřiva
kůrčička	<	kůrka
korbička	<	korba
korbelík	<	korbel
korbílek	<	korbel
kordík	<	kord
kordulka	<	kordula
koreček	<	korec
kornoutek	<	kornout
koroptvička	<	koroptev
korouhvička	<	korouhev
korunka	<	koruna
pětikorunka	<	pětikoruna
korýtko	<	koryto
korábek	<	koráb
korálek	<	korál
korýšek	<	korýš
kosáček	<	kosák
kosík	<	kos
kosočtvereček	<	kosočtverec
kostka	<	kost
kostečka	<	kostka
kostička	<	kostka
kostliveček	<	kostlivec
kostřička	<	kostra
kostík	<	kost
kůstečka	<	kůstka
kostelnička	<	kostelnice
kostelníček	<	kostelník
kostelík	<	kostel
kostelíček	<	kostelík
kostýlek	<	kostel
kostýmek	<	kostým
kotelnička	<	kotelna
kotlinka	<	kotlina
kotlík	<	kotel
kotlíček	<	kotlík
kotníček	<	kotník
kotouček	<	kotouč
kotrmeleček	<	kotrmelec
kotvička	<	kotva
kulovnička	<	kulovnice
zkumavčička	<	zkumavka
koupelka	<	koupelna
koupelnička	<	koupelna
překupníček	<	překupník
okusek	<	okus
kousíček	<	kousek
kousínek	<	kousek
zákuseček	<	zákusek
koutek	<	kout
kouteček	<	koutek
zákoutíčko	<	zákoutí
kovařík	<	kovář
kovaříček	<	kovařík
okůvek	<	okov
podkověnka	<	podkova
podkovka	<	podkova
podkůvka	<	podkova
podkovička	<	podkůvka
kovadlinka	<	kovadlina
kouzelníček	<	kouzelník
